Existence of nearby care centers - exists,Existence of special needs care centers - does not exist,Existence of health resources - exists,Type and size of medical resources - Hospitals,Existence of a first aid center - exists,Town,Observation URI,Total number of care centers,Type and size of medical resources - Clinics,Existence of special needs care centers - exists,Type and size of medical resources - Pharmacies,Total number of first aid centers,Type and size of medical resources - Labs and Radiology ,references,Percentage of towns with special needs indiciduals - Without special needs,Percentage of towns with special needs indiciduals - With special needs,refArea,publisher,dataset,Type and size of medical resources - Medical Centers
0,1,0,0,1, Bireh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-+Bireh,0,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,A'ain El-Mir (El Establ),http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-A%27ain+El-Mir+%28El+Establ%29,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,https://dbpedia.org/page/South_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,AAridet Cheikh Zennad,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-AAridet+Cheikh+Zennad,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Akkar_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,0,Aaba,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aaba,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/North_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,1,0,0,Aabadiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabadiyeh,0,1,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Baabda_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aabaydat,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabaydat,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Byblos_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,Aabba,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabba,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,https://dbpedia.org/page/Nabatieh_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,0,1,3,1,Aabbesiyyi,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabbesiyyi,1,3,1,25,2,4,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Tyre_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,5
0,1,0,0,1,Aabdine,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabdine,0,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Bsharri_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,0,Aabra Saida,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabra+Saida,1,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Sidon_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aabrine,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aabrine,1,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Batroun_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aachach,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aachach,2,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Zgharta_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,Aachqout,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aachqout,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,http://dbpedia.org/resource/Keserwan_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,0,1,0,1,Aadaysseh Marjaayoun,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadaysseh+Marjaayoun,1,2,1,3,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Marjeyoun_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,Aadchit Ech-Chqif,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadchit+Ech-Chqif,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,https://dbpedia.org/page/Nabatieh_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aadchit El-Qoussair,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadchit+El-Qoussair,2,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Marjeyoun_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,Aadloun,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadloun,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,http://dbpedia.org/resource/Sidon_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aadoussiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aadoussiyeh,1,0,0,0,2,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Sidon_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aafsdiq,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aafsdiq,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/North_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,1,0,1,Aain Aanoub,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Aanoub,0,1,0,1,2,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aain Aarab Rachaya,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Aarab+Rachaya,1,0,0,0,2,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Beqaa_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Aata,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Aata,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Beqaa_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,Aain Dara,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Dara,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,1,0,1,Aain Drafil,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Drafil,1,1,0,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aain Ed-Delb,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ed-Delb,2,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Sidon_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Ed-Delbe,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ed-Delbe,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Byblos_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Ej-Jdideh Aaley,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ej-Jdideh+Aaley,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aain El Saydeh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+El+Saydeh,2,0,0,0,3,0,https://impact.cib.gov.lb/home#open_data_section,1,0,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain El-Ghouaybeh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+El-Ghouaybeh,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Byblos_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,0,Aain El-Kharroubeh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+El-Kharroubeh,2,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Matn_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain El-Qabu,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+El-Qabu,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,0,http://dbpedia.org/resource/Matn_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,Aain Er-Rihane,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Er-Rihane,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,http://dbpedia.org/resource/Keserwan_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,1,Aain Er-Roummaneh Aaley,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Er-Roummaneh+Aaley,0,0,0,0,2,0,https://impact.cib.gov.lb/home#open_data_section,1,0,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,1,0,1,Aain Es-Sindiane,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Es-Sindiane,1,2,0,2,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Matn_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,2
0,1,0,0,0,Aain Et-Teffaha,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Et-Teffaha,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Matn_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Et-Tineh-Miniyeh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Et-Tineh-Miniyeh,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/MiniyehâDanniyeh_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,1,Aain Ez-Zeit,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ez-Zeit,0,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Akkar_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aain Ez-Zeitouneh,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ez-Zeitouneh,1,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Matn_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Fraidis,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Fraidis,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,0,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,1,Aain Harsha,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Harsha,0,0,0,0,2,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Beqaa_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,1,2,1,Aain Ibl,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ibl,1,1,0,15,2,5,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Bint_Jbeil_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,2
0,1,1,0,0,Aain Jarfa,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Jarfa,0,1,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Hasbaya_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Jrain,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Jrain,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Byblos_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Kfaa,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Kfaa,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,0,http://dbpedia.org/resource/Byblos_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,1,0,0,Aain Kfar Zabad,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Kfar+Zabad,0,1,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/ZahlÃ©_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,0,0,1,Aain Ksour,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ksour,1,0,0,0,1,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Aley_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Mouaffaq,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Mouaffaq,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Baabda_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,1,1,1,Aain Ouzain,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Ouzain,0,1,1,2,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,0,0,0,0,Aain Qana,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Qana,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,0,https://dbpedia.org/page/Nabatieh_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
0,1,0,0,0,Aain Qania,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Qania,0,0,0,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
1,1,1,0,0,Aain Qinia,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Resources-Aain+Qinia,4,1,0,2,0,0,https://impact.cib.gov.lb/home#open_data_section,0,1,http://dbpedia.org/resource/Hasbaya_District,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Resources-Lebanon-2023,0
